L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
-9.002885747949956885e-01,3.405547485799462204e-01,2.582724345935783816e+00,-8.427717946624891932e-01,9.917826443544754955e-01,-5.228727101616307271e-01,-8.473989147086809226e-02,1.786410313730594224e+00,7.535906939922461245e-03,-4.664147793190315250e-01,-8.673902286648654814e-01
2.810578261208703243e-01,-2.479028324777444725e-01,-1.092281660733132181e-01,1.568881919727747709e+00,-2.705958074225167098e-01,8.634792215018498585e-01,-3.040894016822232593e-01,-4.380485262028658289e-01,2.075520449791780631e-01,-2.216196742380096563e+00,-5.248820839654917414e-01
4.587910540442100560e-01,-1.426018599559065070e+00,-1.304437042380122813e+00,-1.174707931136183880e+00,-8.915661158202419223e-01,-5.323979280975117412e-01,-1.906964259190520927e+00,-2.141242135303224270e+00,-1.041124548817864426e+00,-1.022343508833285508e+00,-6.310335543316583085e-01
-2.691174829903379084e+00,-1.587358634042272065e+00,-6.130657578954593623e-01,3.999791223575628885e-01,-7.738369584196231887e-01,-1.128077677524802258e+00,-2.308749506413766195e+00,-1.203204623418494768e+00,-1.126606407826390432e+00,-1.139364152621059834e+00,-9.673226423696548171e-01
-7.936168574526440977e-01,-1.115076650848564332e+00,-1.635192386765927486e+00,-1.062113806435510455e+00,-9.013523202296918058e-01,-1.900468604810242601e+00,-1.619298809006715967e+00,-1.386078261304732662e+00,-7.059764903193501695e-01,-5.764555241256007490e-01,9.514477982129242173e-02
-1.337486951592968376e+00,-1.068347266705566234e+00,-1.904038602529640078e+00,3.462049867244991752e-01,-1.574989764026916372e+00,-1.316881077234334452e+00,-6.239805911139821859e-01,-1.704327801581515756e+00,-3.250813240067834120e-01,-1.013548638062520491e+00,1.603615511777228136e-02
4.106874832850561097e-01,6.145364117954891237e-01,-1.395081890338200958e+00,2.046661958037081230e-01,-1.074666791700574553e+00,-1.848829615691656991e-01,-1.751668446100233256e-01,-5.775688350639169855e-01,-1.153852567150631003e+00,3.186467559942383621e-01,-7.390473402309428730e-01
-2.045641569183990760e-01,-5.486113273120153400e-01,-2.189909270256953366e+00,1.782453966242280252e+00,-2.187295155730927476e+00,-1.438609069663221662e+00,-1.120568704449357522e+00,-2.097215271922188595e+00,-1.748166283040923030e+00,1.513713185527374994e-01,-8.486653361278190255e-01
6.272693476511651545e-01,-7.895519715670019645e-01,-1.415981232723012573e-01,6.410382209658849369e-03,-9.472799113713356034e-01,5.638269688208097374e-01,-5.179239910384898504e-01,-3.438826609867826622e-01,7.524643545183730131e-01,-3.073809289774706022e-01,8.067846713518126434e-01
-8.701962086851682265e-01,4.986228750996524739e-01,1.084997384683241917e+00,-1.936119790528141316e-01,6.816501129050693830e-01,-9.893373152567204176e-01,-5.954883164165074572e-01,1.138399077557753936e+00,-4.001276330795058289e-01,1.036559396129987487e+00,1.706413187814075430e-02
9.756826300467160706e-01,2.870862215816217256e-01,3.142512797428929083e+00,-1.642002138492435481e+00,1.403758673423963765e+00,1.957841345331496896e+00,2.448887490326870642e-01,2.294684276100812603e+00,6.000759160880531073e-01,-1.129175069045912638e-01,-2.004192638897140874e-02
-6.659744435789756167e-01,7.903950899167313526e-01,2.147554634267314633e+00,2.959690708223037814e-01,1.548777889859221490e+00,3.564309483670255463e-01,7.446292536076444257e-01,2.332006035810914035e-01,-1.343515218573415382e+00,3.872873146021545976e-01,3.142656209349150020e-01
-5.468138633605143517e-02,-9.898564869495706658e-03,-6.397223157804855509e-01,2.178545589218411571e+00,-7.567173685826635854e-01,3.447135073219615986e-01,-8.352518975404118473e-01,-1.095659880667523955e+00,-9.598213109890333383e-01,4.606037908752521476e-02,-1.327143072240406507e+00
1.102536177298448550e+00,-1.039538687829782537e+00,-4.147331893477838594e-01,1.010467145426706265e-01,-2.480443975668003564e-01,2.105694392168142581e+00,-4.801277093892305503e-01,-6.543818715296962907e-01,9.494277875300930480e-01,-2.671525317638231423e-01,1.104598089565861807e+00
-1.503071817918981257e+00,1.552568981486780741e-01,-1.285705828801244399e+00,-9.829104191211611719e-01,1.771363007399887612e-01,-1.762279388694960147e+00,2.719922491054203029e-01,-1.328723096446123186e+00,9.737036818530745430e-01,6.318384212916283715e-01,1.739683360117667332e+00
-2.557057564013692219e-01,-5.921494265457217798e-01,-1.276426109895617111e+00,-8.255784073153414893e-01,-2.735116978816833355e-01,-1.404923831049034177e+00,8.654225331973441904e-02,-2.016478273267352517e-01,-1.723209176368956097e-01,9.849455398702181563e-01,1.583556609977210705e+00
1.273483195588072769e+00,5.998404899582789884e-01,4.113558670877769607e+00,1.856304472916911585e+00,4.171356793773338012e+00,-2.555560193433142335e-01,6.726688359019437069e-01,3.591375907492580399e+00,2.706800744668115488e+00,1.742906089490179056e-01,-4.551464243937298204e-01
4.701852779260985438e-01,1.753634230037596775e-01,-3.089595775111412257e-01,6.648007668018924843e-01,-2.795275420687490797e-01,2.478780333071995745e+00,8.708994413696828918e-01,-3.700424029034214968e-01,-9.692880436257184096e-01,-7.034648590325222051e-01,3.858495265495177073e-01
3.686032615829626935e-01,-2.432192771395960129e-01,-8.501074867350890685e-01,-1.785665916249808749e+00,-8.386869147736397689e-01,3.427917660865202332e-01,5.246749591077480845e-01,-1.081778213904819985e+00,-1.229194028171882280e+00,-7.691076557295183358e-01,4.988139313622803189e-02
-1.324566944547913294e-01,-4.712667469859773556e-02,-1.575054683028290992e+00,-1.426172518634122088e+00,-1.649978699790973335e+00,-8.513191494422576999e-02,-1.202470168589311550e+00,-9.082936743142122626e-01,-1.043461008805021545e-01,-1.569305629201184438e+00,5.599378999639652577e-01
-6.346691341172840950e-01,7.179339408319637128e-01,-9.839973152013115065e-01,-1.645722391779918248e-01,-3.608890561007358500e-01,-1.392673836299925361e+00,-9.106453841358808088e-02,-1.544757505209504611e+00,-7.754217686716182723e-01,-8.036823917055972988e-01,8.933928032826630172e-01
